"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"TSPAN6",7.52237957236289,7.89586235104569,8.09340725476827,7.78040783473671,8.04627315037384,8.2303676443736
"DPM1",9.61921082571514,9.91544370147601,9.72610269682847,9.74196271183265,9.68086978936265,9.38746361425027
"SCYL3",8.6274654039253,8.87069640578581,8.84498918386147,8.98664615037669,8.73673248367543,8.83712252635705
"FIRRM",7.34445939598432,7.72770695473927,7.66432354825795,7.67400702049677,7.93253567695733,7.69169424144971
"FGR",7.12266901813715,7.10378430975599,7.15923717965749,6.70895743902488,6.92817552580991,6.8551221672828
"CFH",6.86745724221269,7.20510454873693,7.54106188715041,7.41321344913405,8.34875205344085,7.4980868044081
"FUCA2",9.60766845755381,9.2748739619909,9.5845184190568,9.39006654302085,9.3067809182891,9.28118511236358
"GCLC",9.78410087776274,9.7336991029357,9.46832591512411,9.78516114481783,9.74459756425027,9.63745026185222
"NFYA",9.82651023659592,9.74565128617093,9.65564136266461,9.7637244119107,9.46871342690517,9.43571957527402
"STPG1",6.84940943142395,7.56787022179281,7.09619555815228,7.1417283867612,6.92817552580991,7.22928837381535
"NIPAL3",9.30130650267656,9.6158246819811,9.39209728522527,9.33512110239116,9.51373171366924,9.14629215314245
"LAS1L",9.23670958561378,9.58572843603213,9.33302371419659,9.37707084651002,9.11905664910798,9.43158739874407
"ENPP4",9.28687974340826,9.55498677472618,9.38356152141336,9.90144194779807,9.30900588169374,9.50616658423002
"SEMA3F",7.41413054908995,6.88452322978599,7.09619555815228,7.73886506291213,7.2980107123455,7.52290011498706
"CFTR",8.06067108375672,8.67232708938349,9.00993754432003,9.77859925310638,9.47070045182486,9.49631241599763
"ANKIB1",10.3031315447317,10.3445919179323,10.3513303846717,10.5051618673474,10.4548528542866,10.2367780543514
"CYP51A1",10.1994904441715,9.51560851268245,9.77253139195881,9.81432410988809,10.4638338342171,10.226109884549
"KRIT1",11.2121823166815,11.3096471561745,11.2347028521872,11.1640409669156,11.1184356189462,11.2447746183735
"RAD52",7.85119237596167,8.18524113036748,8.06750049067134,8.02871200436771,8.18126657832212,8.33743143904354
"BAD",7.19219550767341,7.27843727542755,7.08690969619208,7.09581318303915,6.95425507749556,7.00213759281536
"LAP3",9.11120356860513,9.10181706950124,9.36112719798849,9.1538023275103,9.11905664910798,9.08960034674022
"CD99",10.5541893273317,10.5635965350525,10.5718140796863,10.7757253268371,10.846032635178,10.655053831742
"HS3ST1",6.62736858947596,6.4482853864376,6.46325793753608,6.27281627260943,6.26227845248727,6.50055881527065
"WNT16",6.12273946145042,6.6984975247035,6.75343958715199,6.12237948143524,6.07946330055097,6.63327124221848
"HECW1",8.31336154040728,7.55157793538786,7.44722922482194,8.10053573261378,7.85941429196954,8.06610455858834
"MAD1L1",7.89888645971884,7.67655545573302,7.65842836872762,7.74587950703738,7.65698029101682,7.36623844822061
"LASP1",10.6255872406737,10.6693820165763,10.6391110415187,10.5278022421464,10.7627999283797,10.5248016895886
"SNX11",7.33246238817642,7.87676120461295,7.55392604781551,7.92257592396497,7.74168319093578,7.61765819184331
"TMEM176A",6.33830281534313,6.51224458471339,6.66136717206125,6.3744351131183,7.22854498882114,7.1097673985246
"M6PR",9.7861490283877,9.80722522780256,9.98113540851778,9.73519988234988,9.877666544747,9.86256750290522
"KLHL13",8.05371924041547,8.25991840066046,8.34312114360475,7.88526773876765,8.35749012905393,8.2826032846117
"CYP26B1",5.92385987038451,5.81640650419499,6.18215355980377,5.87253291031351,6.3140973851121,5.86989666124404
"ICA1",9.98463654019046,9.60648728975976,9.92002341296034,10.2985464604909,10.2940447851857,9.35290777033106
"DBNDD1",7.24507307768271,7.41324672921694,6.89462118410255,7.25963778247808,7.59732566648649,6.84073603447125
"ALS2",10.2728153291538,10.3941747106922,10.1043907903165,10.4881959023458,10.3976762287927,10.3238440747549
"CASP10",8.52211839608389,8.97062508688797,8.77848310260904,8.5745512919931,8.82688312881562,8.73627555155348
"CFLAR",12.1590314558147,12.3434693906334,12.2620438402392,12.3927752088635,12.101384701614,12.0993903469255
"TFPI",10.4612581259126,10.0370548061341,10.3892281658816,9.88321347220992,10.1505692859346,10.3205052759198
"NDUFAF7",8.74258969547606,8.6468309095201,8.65256442843373,8.49176629828603,8.41299062890447,8.66007455275321
"RBM5",12.0261566044922,12.1783007756852,11.909744638487,12.0273244829474,11.8239683610541,12.1045706974073
"MTMR7",8.80090099189869,7.40408270869676,6.88353369291753,7.78720750965444,7.42629209717665,6.29437772125897
"SLC7A2",12.7630852664011,12.1156972301695,12.706014911769,12.8116190557728,12.8505913517751,11.6972440730849
"ARF5",8.69502430958235,8.71499062196022,8.46607843921038,8.52388177891739,8.54471410394979,8.7124729324957
"SARM1",8.79681465921768,8.3168917101907,8.52686228395965,8.62715063071993,8.42133664916888,8.60194957223229
"POLDIP2",8.98436413314351,8.53200922625248,8.8623738079616,8.94602043426208,9.10373655646539,8.88952169545587
"PLXND1",10.5493815040164,10.5056366978757,10.4302906802134,10.1464870924899,10.2381265500249,10.6647368574895
"AK2",10.5152697152028,10.3117091675944,10.6737107797026,10.6314176590248,10.5497544663315,10.4422322343544
"CD38",7.45853526476602,7.60773032395641,7.90079454456233,7.30969211241715,7.14398463179758,7.38463037889098
"FKBP4",9.97748846391419,10.1310865820027,9.987892818749,10.0972848890107,9.8806537997218,10.1441028406903
"KDM1A",10.5885742180001,10.5751048316335,10.7682207886111,10.6752781265205,10.4367210828015,10.6399599534776
"RBM6",11.8117040799685,12.1400981171716,12.0100796488498,12.1971016554122,11.9630206380083,12.1616026136466
"CAMKK1",8.06067108375672,7.73485572553191,7.63457976328412,7.59013888852396,7.59732566648649,7.76861235296129
"RECQL",9.58430116767818,9.46894355305268,9.73014167422288,9.48192488183725,9.5404571963565,9.3463345634804
"VPS50",9.34094354475469,9.48330756215253,9.45209631470651,9.11512356096213,9.13672442289867,9.21050933557272
"HSPB6",8.46632453555631,7.81777584531038,8.26604284007793,7.74587950703738,7.70000962870381,8.12480782345522
"ARHGAP33",6.83105667648759,6.91263059300934,6.77830414063754,6.60395109507912,6.43059798974571,7.16557109658522
"NDUFAB1",7.98950749465863,7.52674900669026,7.81431811681867,7.57429513070383,7.93253567695733,7.48970826648945
"PDK4",10.0023527499668,12.5114906165881,10.1800752595945,11.0312396960851,11.5265933488059,11.2937970665744
"ZMYND10",5.92385987038451,6.35493023915314,6.42858114429901,6.21644732757431,6.26227845248727,6.95087858741478
"SLC25A13",9.14363048695124,8.91699209612435,9.22433683950151,9.13072121768454,9.32448440079096,9.06038548480312
"ST7",8.13490147442618,8.14369832069936,8.24321080648235,8.07883456014519,7.95605682419854,8.48199941200902
"CDC27",10.9375304724601,10.4945678103472,10.6554552677079,10.6919323285006,10.7924021511831,10.5449633580987
"HCCS",8.01841967306481,7.87676120461295,8.03664310750778,8.10590781917069,7.95605682419854,7.85414168456399
"DVL2",8.13490147442618,8.38053839293008,8.21999605421384,8.20418390601001,8.05714209097095,8.42005550100726
"PRSS22",6.84940943142395,6.05427758097835,6.35468395787874,6.50679285968562,6.51356109127777,5.86989666124404
"UPF1",9.91898678982924,10.1721069561998,9.83385782203102,9.99068844240015,10.2158455883305,10.0993291307114
"SKAP2",8.29007136446388,8.3581398142926,8.5111202621503,8.54358696202398,8.46636993813743,8.15580124897816
"SLC25A5",9.50436914872567,9.19471999473027,9.50968174113494,9.11773505233185,9.47466624925229,9.30398743923993
"MCUB",7.41413054908995,7.55157793538786,7.16797756727116,7.58224109824932,7.21829211023396,7.24980699343655
