"","SRR3216048","SRR3216049","SRR3216051","SRR3216052","SRR3216053","SRR3216054","SRR3216055","SRR3216056"
"TSPAN6",7.81826205056061,7.73986650733406,8.00549846053195,7.49744964711213,7.8173261038821,7.94654589100349,7.79102701038497,7.75751054910027
"DPM1",9.13705316864783,8.90939687027467,8.90185176088232,8.89979482476679,8.8429522488161,9.05914253006181,9.02735195988869,8.98538866282218
"SCYL3",8.42322300286195,8.61581901595606,8.36828202486926,8.85085029741283,8.45231326296874,8.34920683436826,8.44706774583336,8.56146944557559
"FIRRM",7.065200299198,6.98543363830256,7.03952028761583,6.70355946843214,6.70400620781413,6.9026996106947,6.86797389275314,6.55180608518649
"FGR",7.17557079165608,6.71023155256532,6.76849571761938,7.03682532813456,6.86733463770378,6.79905794755473,6.5709796934807,7.05445319956463
"CFH",7.35003237843281,6.14001004206155,7.07786810867463,6.19717257976099,6.90871745301315,7.19443658620907,6.97273644177817,6.59352304018294
"FUCA2",9.45737537931705,9.23686095898725,8.77343835116589,8.93778614558653,9.17778363037617,9.26126805800894,9.12794248489851,9.25480674213375
"GCLC",9.07520794859127,8.97267311121529,9.28482873280822,9.35526531941771,9.16667612182868,9.22745439854133,9.55711584392431,9.23790672022722
"NFYA",8.8474647659292,8.72047949676434,8.92966133153095,8.91574659606264,9.05363649602269,8.94485101928791,8.71056528896075,8.76410395723411
"STPG1",6.79106982371975,7.08675482532968,6.90349245123269,7.0948578969148,6.7351817140075,7.23437671844175,6.87783164586404,6.83167920516658
"NIPAL3",8.62236756804337,9.19000219175918,9.27402724331536,9.49339664510782,9.06863439823111,8.70250869178291,8.83983457534837,9.49774319671199
"LAS1L",8.60948514761879,8.6116373865322,8.74240449724624,8.77940426450252,8.52814407607846,8.75774414914297,8.58041191769387,8.523571887665
"ENPP4",8.77435435366337,9.66534864109206,8.97373629487825,9.60771126324995,9.23207147935673,8.86537828256579,9.47359782496698,9.53279926863833
"SEMA3F",7.26964380448354,7.68494295912179,7.480728455106,7.74749741708634,7.81017157977657,8.05001756852499,7.27660507792486,7.31329992514493
"CFTR",8.52624317575196,8.24645647135047,7.60750555938545,9.28826121462083,8.70763172924087,7.02222634390152,6.61926145098069,9.24003009810473
"ANKIB1",10.0280006835735,9.99040147958977,9.94965273471904,9.96713133661093,10.0313091562868,10.0816264070644,10.1064649285471,10.0435971657877
"CYP51A1",9.78368023200071,9.65117805358549,9.23557116509596,9.8901716280364,9.60750136426125,10.0138523986794,9.7149464712573,10.1019367097205
"KRIT1",10.105620660738,9.79436703929065,10.1680201442033,9.89821554366502,9.89164909637096,9.96047858592284,10.0658635496195,10.0079240555756
"RAD52",7.6578396366861,7.53312866733658,8.25174551336677,7.92893206499638,7.72139422416166,7.61970228505238,7.65074647918553,7.63300827761286
"BAD",8.22614171284473,8.10465188400358,7.89659817278763,8.19321829138931,8.08351096083268,8.14131586066151,7.93276111800459,8.23876296238943
"LAP3",9.85489402409794,9.3057026345581,8.80756934862079,9.14139967180619,9.61160124805233,9.30592424396595,9.29407898865814,9.40239376563116
"CD99",11.1528178846677,11.040618323,10.7971492629051,10.8246715586729,11.2813354505873,11.3184906728415,11.1556227185222,10.9690986530979
"HS3ST1",5.61231863525462,5.55341355529313,5.68574272076701,4.94989986190354,5.78743084369178,5.44082419749418,5.89638434452902,5.46597266381243
"AOC1",7.24460509864882,9.03328452035488,6.76849571761938,6.24049112702142,8.79684390683847,9.64830774196373,7.7063475318669,6.83167920516658
"WNT16",4.93339919061041,4.97832544731037,5.24256266185646,5.46936653042289,5.2698378466185,4.93123230963083,4.99472701091822,5.19580343254775
"HECW1",7.03619155541928,7.43166896256455,7.49016941704465,7.52285269734339,6.26011134586456,7.06730620417421,6.63106849010885,6.02057000336351
"MAD1L1",7.9054544032475,7.85798555803562,7.83148485051486,7.90987448995918,7.61853121373654,7.71397644511486,7.50769859520417,7.82730345004391
"LASP1",10.2851734829572,10.7921857889976,10.8652578266072,10.7457556431338,10.6339981089862,10.5601529565872,10.6667535895741,10.7945816967465
"SNX11",7.56022675613961,7.73214877149684,7.59007302780987,7.71854162131088,7.54269193644152,7.47789621600509,7.48239017305089,7.61993731078417
"TMEM176A",6.38689160027691,6.75750311456493,6.60108668090414,6.12935270098458,6.23797584891184,6.64246699004165,6.75462281948434,6.25236649740097
"M6PR",9.96375961522642,9.90256497140166,9.59360317657961,10.0063579599352,9.84888083162739,9.88815544957002,10.0669190190587,10.092571644464
"KLHL13",9.34543295377838,8.09267711680424,7.91067325742207,7.5964423422163,8.79684390683847,8.58523307036183,8.16422509443382,8.21298859442442
"CYP26B1",4.99065818620315,4.60313499209026,4.82608109765754,4.69898113586104,4.80924439751518,4.93123230963083,4.38776386084154,4.99791903441001
"ICA1",9.20920373631645,9.83969666745492,9.47130350508517,9.7425058042658,9.84540392834739,9.50248424753925,9.73234962243797,9.67608869316397
"DBNDD1",6.71927002596877,7.58555632445651,7.33099262726368,7.19361506049465,7.33819518955542,7.51065595513455,7.45010549085959,7.22064126163942
"ALS2",9.67211668703902,9.65524102807036,9.62368631878485,9.52906758880061,9.75563899551067,9.68078655854848,9.69049759296076,9.56363681916956
"CASP10",8.50900002365147,8.32526021846695,8.30056915946714,8.23458594453565,8.11282826765599,7.95841948994144,8.0659415925775,8.56825379362877
"CFLAR",11.425114058585,11.5401503634059,11.8042737021005,11.6709428699817,11.6926297734084,11.4309195517957,11.8292623444973,11.4980431506703
"TFPI",9.66746943499756,9.13576069398004,9.67794197177647,9.13596451008442,9.57427556198843,9.37152179815035,10.2008303348938,9.38331126631112
"NDUFAF7",7.93164521282213,7.80014851209653,7.79398444956711,7.68149884867115,7.82444492690635,7.9103214548163,7.89504627899504,7.89384102574575
"RBM5",11.3056322561353,11.2437462861602,11.846778083888,11.7863597824798,11.1931576999998,11.317343882923,11.4623169219757,11.4748077653206
"MTMR7",6.46321667917027,6.52138101679854,6.52789935172217,5.5473281796165,7.41601873928882,5.91901079124778,7.3273720090184,6.21651046308618
"SLC7A2",12.8033198239424,13.6214009409375,12.0675484800343,11.4403640160278,13.4170492593786,12.9355219950995,13.0062335948342,12.2353068861122
"ARF5",9.47344118522429,9.84504167685364,9.24666377406286,9.6349273620643,9.58056402340668,9.6949899721493,9.67119090464453,9.68702163106961
"SARM1",8.50900002365147,8.12242833602675,8.62393549459711,8.45175083294809,8.27714989479669,8.52678250587588,8.30724312601185,8.305312048958
"POLDIP2",9.3761448257769,9.48534881428071,8.89128304713653,9.36226292963345,9.48546448464699,9.46152450046465,9.24267161752781,9.33048929130394
"PLXND1",10.9161654992975,10.0269151461007,10.6357703894843,10.4488971634777,10.7703909762438,10.7957908116374,10.4354664405348,10.3926170133246
